stop,stop time,stop tome sec,time to get there,travel time sec
Lot 5A,0:00:21,21.00,0:00:51,51.00
East Deck,0:00:10,10.00,0:00:25,25.00
Fret N,0:00:31,31.00,0:01:16,76.00
Klien,0:00:22,22.00,0:00:31,31.00
Stun W,0:03:01,181.00,0:00:40,40.00
Athletics W,0:00:02,2.00,0:01:47,107.00
EPIC N,0:00:26,26.00,0:00:37,37.00
Grigg,0:00:16,16.00,0:00:29,29.00
BATT,0:00:15,15.00,0:00:43,43.00
Portal W,0:00:09,9.00,0:00:50,50.00
CRI,0:03:19,199.00,0:00:55,55.00
Duke,0:00:31,31.00,0:01:26,86.00
EPIC S,0:00:46,46.00,0:01:26,86.00
Athletics E,0:00:02,2.00,0:00:51,51.00
Stun E,0:01:28,88.00,0:01:41,101.00
Aux,0:00:28,28.00,0:00:41,41.00
Stu Health,0:00:12,12.00,0:01:04,64.00
Martin,0:01:48,108.00,0:00:59,59.00
Lot 6,0:00:23,23.00,0:00:43,43.00
